============================================================
AGENT: priority
RUN:   Run 12 — Softened Supremacy Clause on data_8 (Vulnerability Band Retest)
DATA:  Neighborhood- High.csv
TIME:  2026-03-10 13:21:08
============================================================

# PRIORITY — Expedite Scoring and Timeline Recommendations
**Pipeline:** Tariff Refund Review
**Dataset:** Neighborhood-High.csv
**Scoring Date:** 2026-03-10
**Total Invoices Scored:** 41
**Reference Date for Age Calculation:** 2026-03-10

---

## Preliminary Notes

**Age Calculation:** All 41 invoices have Submission Dates in the range 2025-12-28 through 2025-12-30, yielding an elapsed range of 71–72 days as of 2026-03-10. All invoices therefore fall in the **31–90 day (MODERATE age priority)** band. Invoice 106793 has a Submission Date of "46020" (invalid format per INTAKE); submission age cannot be calculated. Age priority for 106793 is treated as **INDETERMINATE** — this does not affect its compliance status, which is separately determined.

**Vendor Tier Note:** Invoice 106805 carries a Vendor Tier field value of "Tier" (no number). The Notes field references "Tier 1 (10%) — NATO ally." PRIORITY cannot confirm tier from the data field alone. This is recorded as **INDETERMINATE** and scored conservatively as Tier 1 (lowest tier priority) consistent with the Notes field reference. This is a scoring observation only; the data anomaly does not affect compliance status.

**Composite Score Construction:** PRIORITY scores four factors independently, then derives a composite:
- Age Priority: All scoreable invoices = MODERATE (31–90 days)
- Vendor Tier Priority: Tier 1 = LOWEST; Tier 2 = LOW-MODERATE; Tier 3 = MODERATE-HIGH; Tier 4 = HIGHEST
- Amount Priority: Under $10K = LOW; $10K–$100K = MODERATE; Over $100K = ELEVATED
- Previous Refunds Priority: 0–2 = Standard; 3–5 = Moderate trust; 6+ = Elevated trust

**Expedite Recommendation Logic:**
- **YES** — CLEAR across all four compliance agents (ARIA, PETRA, TAX, CUSTOMS); composite score supports prioritization
- **NO** — Active compliance finding(s) from any agent; composite score does not override
- **MONITOR** — Active compliance finding(s) from any agent; HIGH composite score warrants close tracking through compliance resolution

**Compliance Status Summary Used for Expedite Determination:**

Before scoring, PRIORITY consolidates the compliance status for each invoice across all four agents. An invoice is CLEAR for expedite purposes only if all four agents have issued no active finding (HOLD, FLAG, or CONDITIONAL).

---

## SECTION 1 — Priority Scores: All 41 Invoices

---

| Invoice ID | Submission Date | Age Band | Vendor Tier | Refund Claimed | Prev Ref Count | Age Priority | Tier Priority | Amount Priority | Relationship Weight | Composite Score | Active Compliance Finding(s) | Expedite Recommendation |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 106772 | 2025-12-28 | 31–90 days | Tier 3 | $45,657.00 | 0 | MODERATE | MODERATE-HIGH | MODERATE | Standard | **MODERATE** | ARIA: FLAG (Import Date unverifiable); TAX: HOLD (documentation) | NO |
| 106773 | 2025-12-28 | 31–90 days | Tier 4 | $353,634.84 | 2 | MODERATE | HIGHEST | ELEVATED | Standard | **HIGH** | ARIA: FLAG (arithmetic); PETRA: HOLD (accuracy); TAX: HOLD (regulatory + documentation) | MONITOR |
| 106774 | 2025-12-28 | 31–90 days | Tier 1 | $72,180.80 | 2 | MODERATE | LOWEST | MODERATE | Standard | **LOW-MODERATE** | PETRA: HOLD (security flag — Check); TAX: CONDITIONAL (certificate verification required) | NO |
| 106775 | 2025-12-28 | 31–90 days | Tier 4 | $127,642.02 | 5 | MODERATE | HIGHEST | ELEVATED | Moderate trust | **HIGH** | TAX: HOLD (documentation — OC absent, inapplicable FTA, refund basis unclear) | MONITOR |
| 106776 | 2025-12-28 | 31–90 days | Tier 1 | $9,907.20 | 2 | MODERATE | LOWEST | LOW | Standard | **LOW** | ARIA: FLAG (HTS classification observation); PETRA: HOLD (security flag — Check); TAX: HOLD (documentation — OC absent, refund basis ambiguous) | NO |
| 106777 | 2025-12-28 | 31–90 days | Tier 1 | [BLANK] | 1 | MODERATE | LOWEST | INDETERMINATE | Standard | **LOW** | ARIA: HOLD (blank refund claim); PETRA: HOLD (security flag + accuracy flag); TAX: HOLD (blank claim, OC absent) | NO |
| 106778 | 2025-12-28 | 31–90 days | Tier 1 | $79,845.60 | 5 | MODERATE | LOWEST | MODERATE | Moderate trust | **MODERATE** | TAX: HOLD (documentation — OC absent, refund basis ambiguous) | NO |
| 106779 | 2025-12-28 | 31–90 days | Tier 1 | $128,934.00 | 3 | MODERATE | LOWEST | ELEVATED | Moderate trust | **MODERATE** | ARIA: FLAG (rate discrepancy); PETRA: HOLD (security flag — Check); TAX: HOLD (regulatory + documentation) | NO |
| 106780 | 2025-12-28 | 31–90 days | Tier 1 | $23,120.00 | 1 | MODERATE | LOWEST | LOW | Standard | **LOW** | ARIA: HOLD (missing PO — MUST-1); PETRA: HOLD (security flag CRITICAL — Cash + accuracy flag); TAX: HOLD (multiple) | NO |
