PO,"Item
 Description",Quantity,  Unit Cost  ,Vendor,"Cost before
Tariff","Country 
of Origin","Import 
Date","Tariff
Rate
Applied (%)","Tariff 
Amt Paid","Total 
Payment",Refund Claimed,Invoice ID,HTS_CODE,OC Present,FTA Claimed,Submission Date,Vendor Tier,Prev Ref Count,"Goods
Payment
Channel","Tariff
Payment
Channel",Notes
43271C55,Hammond NWC Series NEMA 12 Swing-Out Wall-Mount Cabinet,890,$171.00 ,Verisize,152190,Libya,12/14/2025,30,45657,197847,45657,106772,8504.40.40.00,N,NA,12/28/2025,Tier 3,0,Wire Transfer,ACH - CBP/ACE ,Tier 3 (30%)- Sanctions/instability; likely above baseline but below most-hostile tier.
47844C80,Lighted Unmetered 50/30/20 Pedestal By Heritage H75P-3L,1164,$741.00 ,LACNE,862524,China,12/15/2025,41,353634.84,1216158.84,353634.84,106773,8504.90.75.00,N,NA,12/28/2025,Tier 4,2,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
42844V1P,Square D QO 100 Amp 20-Space 20-Circuit Main Breaker Indoor Load Center,916,$788.00 ,Intelligence Systems,721808,Guatemala,12/15/2025,10,72180.8,793988.8,72180.8,106774,8504.90.96.00,Y,GU43216,12/28/2025,Tier 1,2,Check,Single Entry Bond,"Tier 1 (10%)    Small partner, no major disputes; likely baseline reciprocal rate."
47844C7F,Hoffman Concept Series NEMA 4 Wall-Mount Steel Enclosure (24x20x8),583,$534.00 ,Colot,311322,China,12/15/2025,41,127642.02,438964.02,127642.02,106775,8532.10.00.00,N,NA,12/28/2025,Tier 4,5,ACH,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
453F27M9,Eaton Cutler-Hammer 200A 3-Pole 600V Non-Fused Safety Switch,258,$384.00 ,CTX,99072,Italy,12/15/2025,10,9907.2,108979.2,9907.2,106776,8512.30.00.00,N,NA,12/28/2025,Tier 1,2,Check,ACH - CBP/ACE ,"Tier 1 (10%)    EU/NATO ally; higher sectoral 232 possible, but reciprocal tier likely low."
453D27A3,GE 50kVA General Purpose Dry Type Transformer 480V to 208Y/120V,1113,$249.00 ,Steps IT Training,277137,Canada,12/15/2025,10,27713.7,304850.7,27713.7,106777,8532.25.00.00,N,NA,12/28/2025,Tier 1,1,Check,Monthly Statement,"Tier 1 (10%)    USMCA partner; subject to sectoral/border measures, but low reciprocal tier."
453F27K3,Hubbell Wiring Device-Kellems 100A 3-Phase 480V Watertight Pin & Sleeve Inlet,1292,$618.00 ,StepAhead,798456,Germany,12/15/2025,10,79845.6,878301.6,79845.6,106778,8504.40.60.00,N,NA,12/28/2025,Tier 1,5,Wire Transfer,ACH - CBP/ACE ,Tier 1 (10%)    EU ally; similar logic to Italy.
47804C92,Allen-Bradley Stratix 2000 Unmanaged Industrial Ethernet Switch (8-Port),1508,$855.00 ,Duet,1289340,Canada,12/16/2025,10,128934,1418274,128934,106779,8512.90.60.00,N,NA,12/28/2025,Tier 1,3,Check,Monthly Statement,"Tier 1 (10%)    USMCA partner; subject to sectoral/border measures, but low reciprocal tier."
47394C7D,Leviton 50 Amp 125/250V 3-Pole 4-Wire Grounding Power Inlet Box,1156,$200.00 ,Axell Group,231200,Brazil,12/16/2025,10,23120,254320,23120,106780,8504.50.40.00,N,NA,12/28/2025,Tier 1,1,Check,Monthly Statement,Tier 1 (10%)    Sample table shows 10% reciprocal for Brazil. 
453D27A2,Siemens Sirius 3RT 3-Pole IEC Contactor with 120V AC Coil,1444,$461.00 ,ByteSize,665684,India,12/16/2025,20,133136.8,798820.8,133136.8,106781,8532.29.00.00,N,NA,12/28/2025,Tier 2,5,Wire Transfer,Monthly Statement,Tier 2 (20%)    Strategic but with recurring trade frictions; plausibly above baseline.
47804C92,APC Smart-UPS 750VA LCD 120V Network Card Compatible,211,$262.00 ,Data Pro Sys,55282,Canada,12/16/2025,10,5528.2,60810.2,5528.2,106782,8512.90.40.00,N,NA,12/28/2025,Tier 1,1,Check,Monthly Statement,"Tier 1 (10%)    USMCA partner; subject to sectoral/border measures, but low reciprocal tier."
42601C35,Appleton Powermaster 60A 3-Pole 4-Wire Pin & Sleeve Receptacle,644,$200.00 ,PicSure,128800,Germany,12/16/2025,10,12880,141680,12880,106783,8504.40.70.00,N,NA,12/28/2025,Tier 1,4,Wire Transfer,ACH - CBP/ACE ,Tier 1 (10%)    EU ally; similar logic to Italy.
